MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice
60,RL,1.4289675858306226,2.201871731497095,Pave,NA,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,0,PConc,4,3,1,6,706.0,1,150.0,856.0,GasA,4,Y,SBrkr,1.9098788003517773,854,2.0074417408949987,1.0,2,1,3,1,3,8,0,0,0,Attchd,2003.0,0,2.0,548.0,0,0,2,0,61,0,0,0,0,0,NA,NA,2,WD,Normal,2.505337700517893
20,RL,1.4775113193551406,2.21588476334664,Pave,NA,Reg,Lvl,3,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,CBlock,4,3,4,5,978.0,1,284.0,1262.0,GasA,4,Y,SBrkr,1.9657762257532652,0,1.9657762257532652,0.0,2,0,3,1,2,6,0,1,3,Attchd,1976.0,0,2.0,460.0,0,0,2,298,0,0,0,0,0,0,NA,NA,5,WD,Normal,2.49394988062813
60,RL,1.4397184637016933,2.233033859326859,Pave,NA,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,0,PConc,4,3,2,6,486.0,1,434.0,920.0,GasA,4,Y,SBrkr,1.9205005669028463,866,2.013266183179461,1.0,2,1,3,1,3,6,0,1,3,Attchd,2001.0,0,2.0,608.0,0,0,2,0,42,0,0,0,0,0,NA,NA,9,WD,Normal,2.510993955442159
70,RL,1.4096066464289525,2.215315111675538,Pave,NA,IR1,Lvl,3,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,0,BrkTil,3,4,1,5,216.0,1,540.0,756.0,GasA,3,Y,SBrkr,1.92686921690282,756,2.007990364547127,1.0,1,0,3,1,3,7,0,1,4,Detchd,1998.0,1,3.0,642.0,0,0,2,0,35,272,0,0,0,0,NA,NA,2,WD,Abnorml,2.4722770394194904
60,RL,1.4885839460327333,2.258132943883458,Pave,NA,IR1,Lvl,3,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,0,PConc,4,3,3,6,655.0,1,490.0,1145.0,GasA,4,Y,SBrkr,1.9520569211690477,1053,2.0406101602723776,1.0,2,1,4,1,3,9,0,1,3,Attchd,2000.0,0,3.0,836.0,0,0,2,192,84,0,0,0,0,0,NA,NA,12,WD,Normal,2.5200498461606777
50,RL,1.4912513280732116,2.2570638807466863,Pave,NA,IR1,Lvl,3,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,0,Wood,4,3,1,6,732.0,1,64.0,796.0,GasA,4,Y,SBrkr,1.899057983629251,566,1.9763990992560134,1.0,1,1,1,1,2,5,0,0,0,Attchd,1993.0,1,2.0,480.0,0,0,2,40,30,0,320,0,0,0,MnPrv,Shed,10,WD,Normal,2.474064747297471
20,RL,1.4626737779454593,2.221234603446467,Pave,NA,Reg,Lvl,3,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,0,PConc,5,3,3,6,1369.0,1,317.0,1686.0,GasA,4,Y,SBrkr,2.0061781190722656,0,2.0061781190722656,1.0,2,0,3,1,3,7,0,1,4,Attchd,2004.0,0,2.0,636.0,0,0,2,255,57,0,0,0,0,0,NA,NA,8,WD,Normal,2.536439321792515
60,RL,1.4397184637016933,2.224388801419946,Pave,NA,IR1,Lvl,3,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,0,CBlock,4,3,2,5,859.0,4,216.0,1107.0,GasA,4,Y,SBrkr,1.9472533797609795,983,2.0340412892872908,1.0,2,1,3,1,2,7,0,2,3,Attchd,1973.0,0,2.0,484.0,0,0,2,235,204,228,0,0,0,0,NA,Shed,11,WD,Normal,2.5019335857292173
50,RM,1.3691038556058743,2.1655409522312277,Pave,NA,Reg,Lvl,3,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,0,BrkTil,3,3,1,1,0.0,1,952.0,952.0,GasA,3,Y,FuseF,1.9357900807220236,752,2.0123654252850574,0.0,2,0,2,2,2,8,1,2,3,Detchd,1931.0,1,2.0,468.0,1,0,2,90,0,205,0,0,0,0,NA,NA,4,WD,Abnorml,2.465937891952014
190,RL,1.3640546328884455,2.1873913151328095,Pave,NA,Reg,Lvl,3,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,BrkTil,3,3,1,6,851.0,1,140.0,991.0,GasA,4,Y,SBrkr,1.943326052746266,0,1.943326052746266,1.0,1,0,2,2,2,5,0,2,3,Attchd,1939.0,0,1.0,205.0,2,0,2,0,4,0,0,0,0,0,NA,NA,1,WD,Normal,2.457744398568535
